#Aufbau
##Schritt;Aktion
linker Flügel zuerst;
Aufbauhilfe;Nähe Fahrwerk
Rechter Flügel;Tank-Anschlüsse zuerst

#Abbau
##Schritt;Aktion
Aufbauhilfe;vor ersten Knick

#Cabin Check
##Punkt;Zustand
frei von Fremdkörpern?;check
Hauptbolzen;gesichert
Pedale & Knüppel;freigängig
Batterien C1 & C2;fest & angeschlossen
Brandhahn;offen
Kraftstoffmenge?;check
Funk;ein; 123.475 MHz
Motor;ausfahren mit manuellem Schalter
Hauptschalter;aus (alle 3)

#Walk arround
##Punkt;Zustand
wenn Wasser;Flächen waagerecht
Kuller;ab
Bugrad;3,0 hPa
Hauptrad;4,0 hPa
Flügelnase links;ohne Dellen
Bremsklappe links;eingefahren
Außenflügel links;gesichert
Wölbklappe links;gegenläufig, verbunden
!Motor;
Zündung;aus
Kühlflüssigkeit;ausreichend (Schlauch)
!Wasserpumpe;läuft
Propeller;check
Schrauben;fest
Zündanlage;fest
Rumpf links;ohne Dellen
P STAT (1m vor SL);sauber, frei
Höhenleitwerk;befestigt
TEK Düse;befestigt, frei, waagerecht
Höhenruder;freigängig
Seitenruder;freigängig
Tankentlüftung;frei
Spornrad;3,0 hPa
Rumpf rechts;ohne Dellen
Wölbklappe rechts;verbunden
Außenflügel rechts;gesichert
Bremsklappe rechts;eingefahren
Flügelnase rechts;ohne Dellen
P GES;frei

#Passenger Instruction
##Punkt;Aktion
Kommandos;
Haubennotabwurf;zeigen
Gurte, Ausstieg;zeigen
Fallschirm;zeigen

#Tanken / Öl
##Treibstoff;Menge / Zeit
Sup. blfr. ≥ ROZ 95;16,0 L / 15,7 L / 00:23
AVGAS 100LL;28,9 L / 28,2 L / 01:09
Inhalt / ausfliegbar / Zeit;(bei 24,5 L/h Verbrauch)
Zweitaktöl;1:50 = 0,4 L Öl / 20 L Treibstoff
Öl-Typen;Castrol ACT>EVO / Castrol Super Two Stroke
Spec.;JASO FC oder FD

#vor Start
##Punkt;Zustand
Kuller ab;check
Ballast;check
Fallschirm angelegt;check
Pilot angeschnallt;check
Kabinenhaube;verschlossen
Haubennotabwurf;bekannt
Ruder;freigängig
Querruder;links oben / rechts oben
Bremsklappen;aus / ein / verriegelt
Wölbklappen;-1
Höhenmesser;600 m
Funk;ein; 123.475 MHz
Sprechprobe;Wächtersberg Info, D-KJRR Sprechprobe

#Engine Start
##Punkt;Aktion
Hauptschalter;ein (alle 3)
Funk;aus
Treibstoff;check
man. Bedienschalter;Mitte (automatik)
Zündschalter;↑, Triebwerk fährt aus
Gashebel;Leerlauf
Starterknopf (rot auf Knüppel);drücken
!Magnetcheck;CHT 40° C / RPM 2500 – 3000
Zündkreisschalter;↑/↓ -300 RPM max.
Redundanzsystem;↑ Notbetrieb / ↓ Normalbetrieb

#(Eigen)Start
##Punkt;Zustand
Treibstoff;check
Kühlflüssigkeit;check (115° C max.)
Ruder;freigängig
Wölbklappen;-1
Trimmung;hinterer Bereich
Luftraum;frei
Startstrecke;frei
Wind;prüfen
Bremse;lösen
Höhenruder;voll ziehen
Gas;so dass Nase oben bleibt
ab 40 km/h;Wölbung +2
ca. 85 km/h;abheben, Höhenruder nachlassen
bis 95 km/h;flach Fahrt holen
dann Steigen (VY);
!Fahrwerk;einziehen, verriegeln (!! Achtung Brandhahn !!)

#Steigen
##Punkt;Zustand
max. 6600 RPM;check
95 km/h;weiter steigen
Kühlflüssigkeit Temp.;≤ 115 °C, sonst schneller fliegen & langsamer steigen

#Engine stop
##Punkt;Aktion
1 min Kühllauf;Wasser ca. 65°C
Funk;aus
Geschwindigkeit;95 – 100 km/h
man. Bedienschalter;Mitte (automatik)
Zündung;↓, Triebwerk stoppt
wenn Propeller senkrecht;check mit Spiegel
Triebwerk fährt ein;Kontrollampe blinkt grün
Triebwerk eingefahren;Kontrollampe konst. grün

#before Landing
##Punkt;Zustand
Flugzeug in Position;check
Flughöhe;200 m AGL (800 m MSL)
≤ 130 km/h;set
Fahrwerk;ausfahren & verriegeln
Wölbklappe;+2
Funk;Wächterberg Info, D-KJRR rechter Gegenanflug 07 zur Landung

#Landing
##Punkt;Einstellung
105 km/h;set, Klappen max. ½

#After Landing
##Punkt;Aktion
Logger noch 5 min laufen lassen;
Hauptschalter;aus (alle 3)

#Securing Airplane
##Punkt;Aktion
Kuller;ab
Haubenbezug;anbringen

#ELT 406 MHz
##Punkt;Aktion
Einschalten;
Test (121.5 MHz);H +05, max. 3 beeps

#Equipment List - Motor
##Item;Inhalt
2 x 20 L Kanister für Treibstoff;gefüllt mit AVGAS und je 0,4 L Zweitaktöl
2-Takt Öl;2 x 1 L
Behälter 13 L;
Tankschlauch mit Benzinfilter;

#Equipment List - Strom
##Item;Zustand
Ladegerät für Flugzeug;
Ladegerät für Balastwasserpumpe;
220 V Kabel;

#Equipment List - Wasserballast
##Item;Zustand
Kanister für Wasser;
Füllschlauch mit Filter;
Pumpe für Wasser;
Batterie für Wasserpumpe;

#Equipment List - Flugzeug
##Item;Zustand
Klebeband;Vorhanden
Flächenbezüge;Vorhanden
Batterie C1 + C2;Vorhanden

#Sauerstoff
##Item;Zustand
Flaschen;gefüllt
